Date,Valor_Portafolio,Capital_Invertido,Rendimiento_%
2025-09-10,896.2221761376838,844.1299730741349,6.1711116445540615
2025-09-11,933.6152379782601,876.389972582639,6.529657707856207
2025-09-12,937.294594174442,876.389972582639,6.949488640578894
2025-09-15,943.142031701397,876.389972582639,7.616707311477544
2025-09-16,939.8998772986062,876.389972582639,7.246763051020477
2025-09-17,933.8814849272313,876.389972582639,6.560037670806551
2025-09-18,949.2729596282838,876.389972582639,8.316273499897031
2025-09-19,952.56463169403,876.389972582639,8.691867946287823
2025-09-22,960.4602121792661,876.389972582639,9.592788852761537
2025-09-23,953.8907578138713,876.389972582639,8.843184844167595
2025-09-24,945.3451882475396,876.389972582639,7.868097287979703
2025-09-25,942.3097421078872,876.389972582639,7.521739361187452
2025-09-26,946.9406884159895,876.389972582639,8.050150964808989
2025-09-29,953.270973769981,876.389972582639,8.772464723755435
2025-09-30,962.1221021903109,876.389972582639,9.782417906383323
2025-10-01,972.46844607784,876.389972582639,10.962981834681052
2025-10-02,977.1720412774316,876.389972582639,11.499683000456674
2025-10-03,971.6026344136773,876.389972582639,10.864188866795853
2025-10-06,975.5608945906491,876.389972582639,11.315843986183772
2025-10-07,972.8000599683949,876.389972582639,11.000820456861726
2025-10-08,984.1547960742303,876.389972582639,12.29644642943808
2025-10-09,985.4628912293691,876.389972582639,12.445705913921223
2025-10-10,952.6951510424171,876.389972582639,8.706760785374335
2025-10-13,974.1821422086692,876.389972582639,11.158522197355358
2025-10-14,966.5905982746289,876.389972582639,10.292293215790348
2025-10-15,970.6715033659982,876.389972582639,10.757942666267661
2025-10-16,969.7026237816781,876.389972582639,10.647389189547152
2025-10-17,969.9345763236164,876.389972582639,10.673856007880866
2025-10-20,977.4432891095694,876.389972582639,11.530633586454186
2025-10-21,973.6014784334525,876.389972582639,11.092265873871243
2025-10-22,964.8483848339064,876.389972582639,10.093498901018783
2025-10-23,976.9338363938491,876.389972582639,11.472502762088531
2025-10-24,993.4415247278698,876.389972582639,13.356103539191677
2025-10-27,1004.7984090915852,876.389972582639,14.651974637562159
2025-10-28,1015.800499600681,876.389972582639,15.907362176590434
2025-10-29,1026.8097880215162,876.389972582639,17.163571029413326
2025-10-30,1013.3330353407503,876.389972582639,15.625813512511222
2025-10-31,1021.3284186969215,876.389972582639,16.53812237115888
2025-11-03,1033.0499158232774,876.389972582639,17.875597410017853
2025-11-04,1003.6080808490485,876.389972582639,14.516152882433108
2025-11-05,1007.635539051706,876.389972582639,14.975703804814056
2025-11-06,987.6180901877378,876.389972582639,12.691623716017663
2025-11-07,992.5429903249624,876.389972582639,13.25357676104295
2025-11-10,1021.6689445703503,876.389972582639,16.576977890286425
2025-11-11,1010.7011230218798,876.389972582639,15.325500592326314
2025-11-12,1009.219038993853,876.389972582639,15.156388202363758
2025-11-13,983.0362698894395,876.389972582639,12.168817608960536
2025-11-14,990.1087766756381,876.389972582639,12.97582213975823
2025-11-17,977.2519308433517,876.389972582639,11.508798755818939
2025-11-18,960.7323312562686,876.389972582639,9.6238388516793
2025-11-19,965.8550401968356,876.389972582639,10.208362762361546
2025-11-20,935.9692168211616,876.389972582639,6.798257180299339
2025-11-21,941.2149429464793,876.389972582639,7.396817899776642
2025-11-24,961.9468117261368,876.389972582639,9.762416483539837
2025-11-25,963.9043051431183,876.389972582639,9.985775202628444
2025-11-26,974.0829570874375,876.389972582639,11.147204733174497
2025-11-28,978.9370949654171,876.389972582639,11.701083489189346
2025-12-01,1030.9900494665362,930.9899664663991,10.741263236132447
2025-12-02,1035.7679850679835,930.9899664663991,11.254473450371606
2025-12-03,1037.0166416366442,930.9899664663991,11.388594828005782
2025-12-04,1041.4680407230067,930.9899664663991,11.866730924709156
2025-12-05,1043.9480269152536,930.9899664663991,12.133112548741032
2025-12-08,1048.0562000134644,930.9899664663991,12.574381869161687
2025-12-09,1048.6380261991542,930.9899664663991,12.636877299472072
2025-12-10,1059.790572876217,930.9899664663991,13.834800701309868
2025-12-11,1060.0867924505615,930.9899664663991,13.866618399138432
2025-12-12,1037.3484022654532,930.9899664663991,11.42423008088269
2025-12-15,1034.7103977156683,930.9899664663991,11.140875303194008
2025-12-16,1033.2655862443523,930.9899664663991,10.985684428602749
2025-12-17,1011.6454180757423,930.9899664663991,8.663407181011152
2025-12-18,1033.0229057512101,930.9899664663991,10.959617499647202
2025-12-19,1055.5168353064307,930.9899664663991,13.375747679932282
2025-12-22,1067.1373684855455,930.9899664663991,14.623938702142848
2025-12-23,1075.8570606874557,930.9899664663991,15.560543017547657
2025-12-24,1081.0705431525046,930.9899664663991,16.12053642809288
2025-12-26,1079.7207179667469,930.9899664663991,15.975548272003381
2025-12-29,1077.6707711839122,930.9899664663991,15.755358274616494
2025-12-30,1073.9390438231017,930.9899664663991,15.354523948230092
2025-12-31,1064.5142293492413,930.9899664663991,14.342180656321958
2026-01-02,1081.5996436153278,930.9899664663991,16.17736845441764
2026-01-05,1090.3536972498425,930.9899664663991,17.11766361868683
2026-01-06,1110.0455928334507,930.9899664663991,19.23282020392365
2026-01-07,1106.4515125141843,930.9899664663991,18.846770896334665
2026-01-08,1098.8891764851571,930.9899664663991,18.034481150857573
2026-01-09,1112.4318608329756,930.9899664663991,19.489135318530316
2026-01-12,1116.936237360357,930.9899664663991,19.972961856906203
2026-01-13,1112.3278922730478,930.9899664663991,19.47796779109472
2026-01-14,1107.8748119500735,930.9899664663991,18.999651108491133
2026-01-15,1117.6094243530754,930.9899664663991,20.045270583849174
2026-01-16,1125.7458412176695,930.9899664663991,20.919223811881913
2026-01-20,1101.8498089122654,930.9899664663991,18.35249020935963
2026-01-21,1123.605291673485,930.9899664663991,20.68930194147669
2026-01-22,1130.99095513584,930.9899664663991,21.482614837252314
2026-01-23,1137.4026471198645,930.9899664663991,22.171310979527625
2026-01-26,1130.3233062655202,930.9899664663991,21.410900974120793
2026-01-27,1148.4844876569443,930.9899664663991,23.36163965504938
2026-01-28,1159.6230799227085,930.9899664663991,24.558064178080595
2026-01-29,1156.6738373968494,930.9899664663991,24.24127853783864
2026-01-30,1138.6937756169891,930.9899664663991,22.30999437501311
2026-02-02,1142.8743596924737,930.9899664663991,22.759041542658977
2026-02-03,1135.8684258279782,930.9899664663991,22.006516368721087
2026-02-04,1100.0969955340063,930.9899664663991,18.164216066630456
2026-02-05,1085.1723354748237,930.9899664663991,16.561120373147364
2026-02-06,1117.8350912996561,930.9899664663991,20.069510044499552
2026-02-09,1126.138483703571,930.9899664663991,20.961398539864405
2026-02-10,1118.503002834039,930.9899664663991,20.141252121046094
2026-02-11,1131.557934855474,930.9899664663991,21.543515570885987
2026-02-12,1118.1975245212507,930.9899664663991,20.108439918574383
2026-02-13,1117.6909729826302,930.9899664663991,20.054029929544836
2026-02-17,1118.8731828277334,930.9899664663991,20.181014095613815
2026-02-18,1135.0828398737658,930.9899664663991,21.922134583470054
2026-02-19,1134.8407514613825,930.9899664663991,21.896131251414587
2026-02-20,1146.3862064653952,930.9899664663991,23.136257935897973
2026-02-23,1135.9059657034413,930.9899664663991,22.01054862221632
2026-02-24,1142.1143315520485,930.9899664663991,22.677404987185668
2026-02-25,1155.8525214043848,930.9899664663991,24.153058898309986
2026-02-26,1138.2761930603156,930.9899664663991,22.265140770601178
2026-02-27,1127.0708123606653,930.9899664663991,21.061542332029326
2026-03-02,1139.2912643506354,930.9899664663991,22.374172159432625
2026-03-03,1114.2072293801284,930.9899664663991,19.67983216931284
2026-03-04,1134.8177169569306,930.9899664663991,21.89365705670985
2026-03-05,1126.1016669545622,930.9899664663991,20.9574439592207
2026-03-06,1102.5814324427179,930.9899664663991,18.4310757534369
2026-03-09,1119.406205936912,930.9899664663991,20.238267463359747
